mark,model,description,model_id
VOLVO,Xc90,T8 Twin Engine 303 + 87ch Inscription Geartronic 7 places,1432
DS,Ds 4,PureTech 225ch Rivoli Automatique,1433
RENAULT,Scenic,1.7 Blue dCi 120ch Limited,1434
MERCEDES,Classe B,180d 2.0 116ch Progressive Line Edition,1435
PEUGEOT,5008,1.2 PureTech 130ch S&S GT,1436
LAND-ROVER,Discovery Sport,1.5 P300e 309ch Dynamic SE,1437
MERCEDES,Classe B,180d 116ch AMG Line Edition 7G-DCT,1438
MERCEDES,Cla,250 e 160+102ch AMG Line 8G-DCT,1439
OPEL,Mokka,1.2 Turbo 130ch Elegance BVA8,1440
CITROEN,C5 Aircross,1.6 Hybride rechargeable 180ch Ë-SERIES boite automatique,1441
PEUGEOT,2008,1.5 BlueHDi 110ch S&S Style,1442
DACIA,Sandero,1.0 TCe 100ch Stepway,1443
CITROEN,C5 Aircross,PureTech 130ch S&S Feel EAT8,1444
SEAT,Ibiza,1.0 MPI 80ch Start/Stop Urban Euro6d-T,1445
CITROEN,Ds 4,1.6 HDI 115 FAP So Chic,1446
CITROEN,C4 Cactus,PureTech 110 Feel Business S&S,1447
RENAULT,Twingo,Electric Intens R80 Achat Intégral 3CV,1448
PEUGEOT,308,1.5 BlueHDi 130ch S&S GT Line EAT8,1449
PEUGEOT,208,1.5 BlueHDi 100 Premium Pack,1450
RENAULT,Clio,1.2 16v 75ch Limited 5p,1451
PEUGEOT,2008,1.2 PureTech 110ch E6.c Signature S&S EAT6,1452
TOYOTA,Corolla Touring Sports,2.0 196ch GR Sport MY23,1453
PEUGEOT,508 Sw,1.6 THP 16v 165ch Allure S&S EAT6,1454
DS,Ds 5,BlueHDi 150ch So Chic S&S,1455
FORD,Fiesta,1.0 EcoBoost 140ch Stop&Start Vignale 5p,1456
FORD,Kuga,1.5 EcoBlue 120ch ST-Line,1457
BMW,X4,xDrive20d 190ch M Sport Euro6d-T,1458
RENAULT,Captur,1.3 TCe 155ch FAP Initiale Paris EDC - 20,1459
RENAULT,Zoe,Life R90 2019,1460
TOYOTA,C-Hr,122h Edition 2WD E-CVT MY20,1461
TOYOTA,Rav4,Hybride 222ch Lounge AWD-i,1462
PEUGEOT,208,e-208 136ch GT Pack,1463
DACIA,Logan Mcv,0.9 ECO-G 90ch essentiel,1464
RENAULT,Megane,1.5 Blue dCi 95ch Air Nav Réversible,1465
VOLKSWAGEN,Golf,2.0 TDI SCR 150ch R-Line DSG7,1466
LEXUS,Nx,300h 4WD Luxe,1467
TOYOTA,C-Hr,122h Dynamic Business 2WD E-CVT MC19,1468
DS,Ds 3,1.2 PureTech 130ch Esprit Voyage Automatique,1469
AUDI,Q4 E-Tron,40 e-tron 204ch S line,1470
MERCEDES,Citan,110 CDI Long First,1471
TOYOTA,Aygo X,1.0 VVT-i 72ch Dynamic,1472
TOYOTA,Rav4,197 Hybride Black Edition 2WD CVT,1473
OPEL,Combo Cargo,L1H1 CUA 1.4 GNV 120ch Base,1474
RENAULT,Captur,0.9 TCe 90ch energy Intens,1475
OPEL,Grandland X,1.2 Turbo 130ch Edition Business BVA8 7cv,1476
NISSAN,Leaf,150ch 40kWh Acenta 19.5 +Pack Confort + AVM 360? & Radars AV/AR,1477
DACIA,Jogger,1.0 ECO-G 100ch Expression 7 places,1478
PEUGEOT,308,1.2 PureTech 130ch E6.3 S&S GT Line,1479
MINI,Mini,One 102ch BVA,1480
SUZUKI,Jimny,1.5 VVT Privilège,1481
KIA,Sportage,1.6 CRDi 136ch MHEV GT Line Premium 4x2 DCT7,1482
VOLKSWAGEN,Id.3,204ch Pro Performance 58 kWh Life Plus,1483
MINI,Countryman,Cooper S 192ch Oakwood Euro6d-T,1484
DACIA,Sandero,0.9 TCe 90ch 15 ans - 20,1485
BMW,Serie 1,116i 109ch M Sport,1486
FORD,Puma,1.0 EcoBoost 125ch mHEV Titanium 6cv,1487
BMW,Serie 1,116iA 109ch M Sport DKG7,1488
AUDI,Q3,35 TDI 150ch Design S tronic 7,1489
TOYOTA,Yaris Cross,116h GR Sport 2WD,1490
PEUGEOT,5008,1.2 PureTech 130ch S&S GT Line EAT8,1491
MITSUBISHI,Asx,1.6 MPI PHEV 159ch Instyle,1492
DACIA,Duster,1.3 TCe 150ch FAP Journey 4x2 EDC,1493
NISSAN,Qashqai,J12A 1.3 Mild Hybrid 140ch N-Connecta,1494
CITROEN,C5 Aircross,PureTech 130ch S&S Live,1495
VOLKSWAGEN,T-Cross,1.0 TSI 115ch Carat,1496
MERCEDES,Classe A,180 136ch Progressive Line 7G-DCT,1497
RENAULT,Zoe,Business charge normale R110,1498
BMW,X1,xDrive25e 220ch M Sport,1499
BMW,Serie 5,i5 M60 xDrive 601ch,1500
PORSCHE,Taycan,571ch 4S avec batterie performance plus MY21,1501
BMW,X1,sDrive18iA 136ch Business Design DKG7,1502
VOLKSWAGEN,Id. Buzz,77 kWh - 204ch Base,1503
NISSAN,Qashqai,1.5 dCi 115ch N-TEC DCT 2019 Euro6-EVAP,1504
VOLKSWAGEN,Taigo,1.0 TSI 95ch Life,1505
DACIA,Sandero,1.0 TCe 90ch Stepway Confort -22,1506
RENAULT,Zoe,E-Tech Iconic charge normale R135 Achat Integral - MY22,1507
PEUGEOT,Expert,M 2.0 BlueHDi PREMIUM 140ch,1508
AUDI,A1 Sportback,30 TFSI 110ch Advanced 2 S tronic 7,1509
HYUNDAI,I20 Active,1.0 T-GDi 100ch Active DCT-7 Euro6d-T EVAP,1510
PEUGEOT,108,VTi 72 Allure S&S 4cv 5p,1511
RENAULT,Master,RJ3500 L3 2.3 Blue dCi 145ch Confort EuroVI,1512
CITROEN,C3,PureTech 82ch Feel S&S E6.d,1513
DACIA,Duster,1.5 Blue dCi 115ch 15 ans 4x4 - 20,1514
PEUGEOT,Partner,Standard 1000kg BlueHDi 100ch S&S BVM5 Premium,1515
DACIA,Duster,1.5 Blue dCi 115ch Prestige 108g 4x2 - 19,1516
PEUGEOT,2008,e-2008 136ch GT Pack,1517
CITROEN,C5 X,PureTech 180ch S&S Shine Pack EAT8,1518
RENAULT,Zoe,Life charge rapide Q90,1519
DS,Ds 3 Crossback,BlueHDi 130ch Grand Chic Automatique 98g,1520
MINI,Countryman,C 170ch Classic DKG7,1521
RENAULT,Megane,1.3 TCe 140ch Business EDC -21N,1522
MERCEDES,Classe B,180 136ch Progressive Line Edition 7G-DCT 7cv,1523
PEUGEOT,108,VTi 72 Style 5p,1524
JAGUAR,E-Pace,2.0D 150ch R-Dynamic S AWD BVA9,1525
DACIA,Sandero,1.0 TCe 90ch Confort -22B,1526
FORD,Fiesta,1.0 Flexifuel 95ch Active X 5p,1527
HYUNDAI,Tucson,1.6 CRDI 136ch hybrid 48V N Line Executive DCT-7 Euro6d-Evap,1528
TOYOTA,Aygo,1.0 VVT-i 69ch x-play 5p,1529
VOLKSWAGEN,Polo,1.0 TSI 95ch Style,1530
MERCEDES,Cla,250 e 218ch AMG Line 8G-DCT,1531
NISSAN,Primastar,L1H1 2t8 2.0 dCi 150ch Acenta,1532
PEUGEOT,508,Hybrid4 360ch e-EAT8 Peugeot Sport Engineered,1533
RENAULT,Clio,1.5 Blue dCi 115ch Zen,1534
CITROEN,C3,1.2 PureTech 83ch S&S MAX,1535
SEAT,Ibiza,1.2 TSI 90ch Style,1536
BMW,Serie 2 Gran Tourer,220d 190ch M Sport,1537
BMW,Serie 8,840iA 333ch xDrive,1538
TOYOTA,Yaris,100h Dynamic 5p MY19,1539
RENAULT,Megane,1.3 TCe 140ch Techno EDC,1540
RENAULT,Clio,1.5 dCi 90ch energy Business EDC 5p,1541
BMW,Serie 4 Gran Coupe,420dA xDrive 190ch Luxury Euro6d-T,1542
FIAT,Doblo Cargo,1.3 Multijet 95ch Pack Professional Trio Nav E6,1543
TOYOTA,Proace,Compact 115 D-4D Dynamic,1544
RENAULT,Captur,1.0 TCe 100ch Life - 20,1545
DACIA,Sandero,0.9 TCe 90ch Stepway - 19,1546
AUDI,Q7,55 TFSI e 380ch S line quattro Tiptronic 5 places,1547
RENAULT,Megane Estate,1.3 TCe 140ch Techno EDC -23,1548
DS,Ds 3 Crossback,E-Tense Performance Line,1549
BMW,Serie 2 Active Tourer,225e 245ch xDrive Active Tourer DKG7,1550
PEUGEOT,308,PHEV 180ch Active Pack e-EAT8,1551
FORD,Ecosport,1.0 EcoBoost 125ch ST-Line 6cv,1552
TOYOTA,C-Hr,2.0 Hybride 184ch Dynamic Ultimate E-CVT,1553
FORD,Fiesta,1.0 Flexifuel 95ch Titanium X 5p,1554
OPEL,Astra,1.6 CDTI 110ch Start&Stop Edition,1555
PEUGEOT,208,1.2 PureTech 130ch S&S GT Line EAT8,1556
DS,Ds 4,PureTech 225ch Performance Line + Automatique,1557
PEUGEOT,3008,1.2 PureTech 130ch Crossway S&S,1558
DS,Ds 7 Crossback,BlueHDi 130ch Performance Line + Automatique,1559
CITROEN,C5 Aircross,PureTech 180ch S&S Shine EAT8,1560
CITROEN,Ds 3,PureTech 110ch Emeraude Addict S&S,1561
CITROEN,C1,VTi 72 S&S Shine 5p E6.d,1562
OPEL,Insignia Sports Tourer,1.5 D 122ch Elegance Business BVA8,1563
MERCEDES,Cla Shooting Brake,250 e 160+102ch AMG Line 8G-DCT,1564
VOLKSWAGEN,Passat Sw,2.0 TDI EVO 150ch R-Line DSG7 8cv,1565
FORD,Ecosport,1.0 EcoBoost 125ch ST-Line Euro6.2,1566
HYUNDAI,I20,1.0 T-GDi 100ch Hybrid Creative DCT-7,1567
MERCEDES,Classe E,350 d 258ch Fascination 9G-Tronic,1568
BMW,X3,xDrive20d 190ch M Sport,1569
SEAT,Ateca,1.5 TSI 150ch ACT Start&Stop FR DSG Euro6d-T 117g,1570
CITROEN,Berlingo,XL PureTech 130ch S&S Shine EAT8 7 places,1571
MERCEDES,Classe A Berline,180 d 116ch AMG Line 7G-DCT,1572
SKODA,Karoq,2.0 TDI 150ch SCR Style 4x4 DSG,1573
RENAULT,Espace,1.6 dCi 160ch energy Zen EDC,1574
RENAULT,Scenic,1.2 TCe 130ch energy Business,1575
BMW,X2,sDrive20iA 192ch M Sport DKG7 Euro6d-T 132g,1576
FORD,Kuga,2.5 Duratec 190ch FHEV Titanium BVA i-AWD,1577
TOYOTA,C-Hr,122h Collection 2WD E-CVT MY20,1578
PORSCHE,Panamera Sport Turismo,3.0 V6 462ch 4 E-Hybrid,1579
CITROEN,Ami,Ami 2p,1580
PEUGEOT,208,1.2 PureTech 130ch S&S GT EAT8,1581
MERCEDES,Cla Shooting Brake,220 d 190ch AMG Line 8G-DCT,1582
PEUGEOT,2008,e-2008 156ch GT,1583
RENAULT,Twingo,0.9 TCe 95ch Intens,1584
BMW,X2,sDrive18iA 140ch M Sport DKG7 Euro6d-T,1585
RENAULT,Zoe,Intens R110 Achat Intégral MY19,1586
VOLVO,Xc60,T6 AWD 253 + 145ch R-Design Geartronic,1587
OPEL,Astra,1.5 D 105ch Edition,1588
MERCEDES,Glc,43 AMG 367ch 4Matic 9G-Tronic,1589
RENAULT,Twingo,1.0 SCe 70ch Stop&Start Intens 2 eco²,1590
BMW,X3,xDrive30eA 292ch Lounge 10cv,1591
HYUNDAI,Tucson,1.6 CRDI 136ch Hybrid 48V Creative DCT7,1592
NISSAN,Townstar,Tce 130 N-Connecta,1593
RENAULT,Twingo,1.0 SCe 75ch Zen,1594
OPEL,Crossland X,1.2 Turbo 110ch Elegance Business,1595
BMW,Serie 1,114d 95ch Premiere 5p Euro6c,1596
AUDI,Q2,35 TDI 150ch Design S tronic 7 Euro6dT,1597
PEUGEOT,3008,1.5 BlueHDi 130ch S&S Active Business EAT8,1598
TOYOTA,C-Hr,122h Collection 2WD E-CVT RC18,1599
PEUGEOT,5008,1.5 BlueHDi 130ch E6.c Allure S&S EAT8,1600
PORSCHE,Taycan,476ch 4,1601
RENAULT,Twingo,0.9 TCe 95ch Signature,1602
PEUGEOT,3008,1.5 BlueHDi 130ch E6.c Crossway S&S,1603
PEUGEOT,2008,1.2 PureTech 82ch E6.c Style S&S,1604
MERCEDES,Cle Coupe,200 204ch AMG Line 9G Tronic,1605
RENAULT,Zoe,Intens charge normale R135,1606
RENAULT,Clio,1.5 Blue dCi 115ch Intens,1607
CITROEN,C3,1.5 BlueHDi 100ch S&S Feel Business E6.d,1608
HONDA,Cr-V,1.5 i-VTEC 173ch Elegance 2WD,1609
CITROEN,C5 Aircross,PureTech 130ch S&S C-Series,1610
CITROEN,C3,1.2 PureTech 83ch S&S YOU,1611
VOLKSWAGEN,T-Roc,1.5 TSI EVO 150ch Carat DSG7 Euro6d-T,1612
SEAT,Tarraco,2.0 TDI 150ch Urban DSG7 7 places,1613
INFINITI,Fx,30d S Premium BA,1614
CITROEN,C4 Cactus,PureTech 110 Shine S&S,1615
RENAULT,Captur,1.5 Blue dCi 115ch Business EDC,1616
VOLKSWAGEN,Golf,2.0 TDI 150ch FAP Confortline DSG7 Euro6d-T 5p,1617
TOYOTA,Corolla,122h Collection MY21,1618
RENAULT,Master,F3300 L2H2 2.3 dCi 135ch Grand Confort E6,1619
MERCEDES,Classe C,300 d e 197+129ch AMG Line,1620
PEUGEOT,308 Sw,1.2 PureTech 130ch S&S Allure Pack EAT8,1621
DACIA,Sandero,1.5 Blue dCi 95ch 15 ans - 20,1622
RENAULT,Kangoo Express,1.5 Blue dCi 80ch Grand Confort 5cv,1623
CITROEN,C4,1.2 PureTech 130ch S&S MAX Automatique,1624
RENAULT,Twingo,1.0 SCe 65ch Zen E6D-Full,1625
RENAULT,Clio,1.5 dCi 75ch energy Zen 5p société 2 places,1626
DACIA,Logan Mcv,0.9 TCe 90ch Explorer Easy-R,1627
MERCEDES,Classe A,200 d 150ch AMG Line 8G-DCT,1628
BMW,Serie 5,520dA 197ch M Sport,1629
FORD,Kuga,2.5 Duratec 225ch PowerSplit PHEV Titanium eCVT,1630
NISSAN,Micra,1.0 IG-T 100ch N-Sport Xtronic 2020,1631
BMW,X1,sDrive18i 136ch xLine First Edition,1632
MERCEDES,Classe E,300 e 204+129ch AMG Line 9G-Tronic,1633
RENAULT,Clio,1.0 TCe 90ch Business X-Tronic -21,1634
FORD,Fiesta,1.0 EcoBoost Hybrid 125ch Titanium Business 5p,1635
RENAULT,Captur,1.3 TCe 150ch FAP Intens,1636
RENAULT,Talisman,1.6 dCi 160ch energy Initiale Paris EDC,1637
PEUGEOT,408,PHEV 225ch First Edition e-EAT8,1638
JAGUAR,E-Pace,2.0D 180ch R-Dynamic HSE AWD BVA9 9cv,1639
LEXUS,Ux,250h 4WD Executive MY20,1640
KIA,Rio,1.0 T-GDI 120ch ISG GT Line Euro6d-T,1641
OPEL,Corsa,1.3 CDTI 75ch Edition Start/Stop 5p,1642
BMW,Serie 2 Cabriolet,218iA 136ch Sport,1643
RENAULT,Megane,1.6 E-Tech Plug-in hybrid 160ch Techno -23,1644
JAGUAR,E-Pace,2.0D 240ch R-Dynamic HSE AWD BVA9,1645
DS,Ds,4 E-TENSE 225 TROCADERO,1646
PEUGEOT,Boxer,L2H2 3.5 140ch BlueHDi S&S Pack Asphalt Connect,1647
PEUGEOT,3008,1.2 PureTech 130ch E6.c Active S&S,1648
CITROEN,Grand C4 Spacetourer,130ch S&S Shine EAT8 7cv,1649
RENAULT,Clio,1.3 TCe 130ch FAP RS Line EDC,1650
VOLKSWAGEN,Id.5,299ch GTX 77 kWh,1651
MERCEDES,Classe B,180d 2.0 116ch AMG Line Edition 8G-DCT,1652
TOYOTA,Prius,122h Dynamic Pack Premium RC18,1653
RENAULT,Kangoo Express,1.5 Blue dCi 95ch Grand Confort,1654
PEUGEOT,308 Sw,PHEV 180ch GT e-EAT8,1655
JAGUAR,F-Pace,2.0D 180ch Chequered Flag AWD BVA8,1656
MERCEDES,Classe A,160 109ch Style Line,1657
LAND-ROVER,Range Rover Velar,2.0 P400e 404ch PHEV R-Dynamic SE AWD BVA,1658
TOYOTA,Aygo,1.0 VVT-i 72ch x-play x-shift 5p,1659
RENAULT,Captur,1.3 TCe 140ch Intens EDC,1660
BMW,Serie 1,116dA 116ch M Sport DKG7,1661
CITROEN,C3,1.2 PureTech 83ch S&S Shine Business 123g,1662
RENAULT,Captur,1.0 TCe 90ch Business - 21,1663
PEUGEOT,2008,1.5 BlueHDi 130ch S&S Allure Pack EAT8,1664
FORD,Kuga,2.5 Duratec 225ch PHEV ST-Line X BVA,1665
AUDI,Q4 Sportback E-Tron,40 e-tron 204ch Executive,1666
KIA,Niro,EV 204ch Active,1667
OPEL,Grandland X,1.5 D 130ch Opel 2020 7cv,1668
MERCEDES,Classe V,300 d Extra-Long Avantgarde 9G-Tronic,1669
AUDI,Q2,30 TFSI 116ch Design luxe Euro6dT,1670
DACIA,Sandero,1.0 SCe 65ch Access,1671
PEUGEOT,308,1.2 PureTech 130ch S&S GT Pack EAT8,1672
FORD,Puma,1.0 EcoBoost 125ch mHEV ST-Line X 6cv,1673
RENAULT,Zoe,Life charge normale R110 - 20 LOCATION DE BATTERIE,1674
FORD,Transit Custom,280 L1H1 2.0 EcoBlue 170 Trend Business,1675
ALFA ROMEO,Tonale,1.5 Hybrid 160ch Ti TCT,1676
BMW,X3,xDrive30eA 292ch xLine 10cv,1677
BMW,X2,iX2 xDrive30 313ch M Sport,1678
DS,Ds 3 Crossback,E-Tense Performance Line + 4cv,1679
FORD,Kuga,2.5 Duratec 225ch PowerSplit PHEV ST-Line eCVT,1680
FORD,Fiesta Active,1.0 EcoBoost 100ch Active X BVA,1681
NISSAN,Micra,1.0 DIG-T 117ch N-Sport,1682
LEXUS,Rc,300h F SPORT MY20,1683
NISSAN,Juke,1.5 dCi 110ch Blacktop,1684
BMW,X1,sDrive20iA 192ch M Sport DKG7 10cv,1685
FIAT,Tipo,1.4 95ch Pop MY19 5p,1686
PEUGEOT,208,1.2 PureTech 110ch Tech Edition S&S 5p,1687
FIAT,500x,1.0 FireFly Turbo T3 120ch Cross,1688
RENAULT,Kangoo Van,L1 1.5 Blue dCi 95ch Grand Confort - 22,1689
KIA,Sportage,1.6 CRDi 136ch MHEV GT Line 4x2 DCT7,1690
BMW,Serie 4 Cabriolet,420iA 184ch M Sport,1691
PEUGEOT,2008,e-2008 136ch Allure Business,1692
CITROEN,C5 Aircross,BlueHDi 130ch S&S Shine EAT8 E6.d-TEMP,1693
RENAULT,Kadjar,1.5 Blue dCi 115ch Evolution EDC,1694
DACIA,Logan Mcv,1.5 dCi 90ch Prestige Euro6,1695
AUDI,Q3,45 TFSI e 245ch S line S tronic 6,1696
PEUGEOT,Partner,Standard 1000kg BlueHDi 130ch S&S Asphalt EAT8,1697
NISSAN,Juke,1.0 DIG-T 114ch N-Connecta 2021.5,1698
KIA,Sportage,1.6 T-GDi 265ch PHEV 30 Years BVA6 4x4,1699
RENAULT,Captur,1.5 dCi 90ch Stop&Start energy Life eco² Euro6 2016,1700
RENAULT,Espace,1.6 dCi 160ch energy Initiale Paris EDC,1701
PEUGEOT,208,1.2 PureTech 110ch E6.c GT Line S&S 5p,1702
KIA,Picanto,1.0 67ch Urban Edition Euro6d-T,1703
PEUGEOT,508,BlueHDi 180ch S&S GT EAT8,1704
BMW,M2 Coupe,M2 370ch M DKG,1705
RENAULT,Scenic,1.5 dCi 110ch energy Intens,1706
MERCEDES,Classe E,220 d 200+20ch AMG Line 9G-Tronic,1707
LAND-ROVER,Range Rover Sport,2.0 P400e 404ch HSE Dynamic Mark VII,1708
CITROEN,Jumper,35 L4 2.2 BlueHDi 140 S&S Club,1709
RENAULT,Arkana,1.3 TCe mild hybrid 140ch Equilibre EDC -22,1710
MERCEDES,Cla,220 d 190ch AMG Line 8G-DCT,1711
MERCEDES,Eqs,450+ 333ch AMG Line,1712
CITROEN,C4,PureTech 110ch Feel,1713
TOYOTA,Auris,HSD 136h Design,1714
PEUGEOT,108,1.2 PureTech Roland Garros Top 5p,1715
MINI,Mini,Cooper 136ch Pure Burgundy BVA7 Euro6d-T,1716
RENAULT,Scenic,1.7 Blue dCi 120ch Business EDC,1717
CUPRA,Formentor,1.5 TSI 150ch Business Edition DSG7,1718
LEXUS,Rx,450h 4WD Luxe Euro6d-T,1719
KIA,Rio,1.0 T-GDI 120ch MHEV GT-Line iBVM6,1720
PEUGEOT,308,1.2 Puretech 130ch Féline S&S 5p,1721
RENAULT,Clio,1.6 E-Tech 140ch Limited -21,1722
DS,Ds 3 Crossback,E-Tense Grand Chic,1723
HONDA,Hr-V,1.5 i-VTEC 130ch Exclusive,1724
RENAULT,Clio,1.0 TCe 90ch Zen -21,1725
CUPRA,Formentor,1.5 TSI 150ch V DSG7,1726
MERCEDES,Classe B,180 d 109ch Sport Edition,1727
PEUGEOT,Partner,Standard 650kg BlueHDi 130ch S&S Asphalt EAT8,1728
DACIA,Duster,1.5 Blue dCi 115ch 15 ans 4x2 E6U,1729
PEUGEOT,208,1.2 PureTech 75ch S&S Like 2022,1730
SUZUKI,S-Cross,1.4 Boosterjet Hybrid 129ch Style Allgrip,1731
RENAULT,Zoe,Intens charge normale R110,1732
OPEL,Mokka,1.2 Turbo 130ch Ultimate BVA8,1733
MERCEDES,Classe B,180 d 109ch Fascination 7G-DCT,1734
TOYOTA,Yaris,70 VVT-i Ultimate 5p,1735
PEUGEOT,508 Sw,HYBRID 225ch Allure Business e-EAT8,1736
OPEL,Mokka X,1.6 CDTI 136ch Innovation 4x2,1737
NISSAN,Qashqai,1.5 dCi 115ch Tekna DCT 2019 Euro6-EVAP,1738
OPEL,Grandland X,1.2 Turbo 130ch Innovation BVA,1739
MAZDA,Cx-3,2.0 SKYACTIV-G 121ch Sélection Euro6d-T,1740
PORSCHE,Cayenne Coupe,3.0 V6 462ch E-Hybrid Platinum Edition,1741
FORD,Kuga,2.5 Duratec 190ch FHEV E85 ST-Line X BVA,1742
TOYOTA,C-Hr,184h Dynamic Business 2WD E-CVT + Programme Beyond Zero Academy MY22,1743
BMW,X1,ixDrive30 313ch Business Design,1744
VOLKSWAGEN,Polo,1.0 TSI 95ch R-Line,1745
AUDI,Q2,35 TFSI 150ch Design S tronic 7,1746
PEUGEOT,308,e-308 156ch First Edition,1747
RENAULT,Kangoo,1.5 Blue dCi 115ch Techno EDC - 23,1748
PEUGEOT,2008,1.2 PureTech 130ch S&S Active,1749
TOYOTA,Corolla,122h Design MY21,1750
NISSAN,Qashqai,e-POWER 190ch Tekna+ 2022,1751
VOLVO,Xc60,T8 AWD Recharge 303 + 87ch Inscription Luxe Geartronic,1752
MERCEDES,Eqb,350 292ch AMG Line 4Matic,1753
MERCEDES,Classe B,180 136ch Style Line Edition,1754
DS,Ds 7,E-TENSE 225ch Opera,1755
RENAULT,Twingo,1.0 SCe 70ch Intens Euro6,1756
OPEL,Grandland X,1.2 Turbo 130ch Ultimate 7cv,1757
FORD,Transit Connect,L1 1.5 EcoBlue 120ch Trend BVA,1758
PEUGEOT,5008,1.2 PureTech 130ch Allure Business S&S,1759
VOLKSWAGEN,Golf,1.4 eHybrid 245ch GTE DSG6,1760
BMW,Serie 4 Gran Coupe,430dA xDrive 286ch,1761
LEXUS,Rx,450h+ 4WD F SPORT Design MY24,1762
OPEL,Mokka,1.2 Turbo 100ch Elegance,1763
OPEL,Corsa,1.2 Turbo 100ch Elegance Business BVA,1764
OPEL,Crossland X,1.5 D 110ch GS,1765
CITROEN,C5 Aircross,BlueHDi 130ch S&S C-Series E6.d 130g,1766
KIA,Sportage,1.6 CRDi 115ch ISG GT Line 4x2,1767
HYUNDAI,Ix20,1.6 125ch Blue Drive Intuitive,1768
PEUGEOT,3008,1.6 BlueHDi 120ch Allure S&S EAT6,1769
FIAT,Tipo,1.4 95ch Easy 4p,1770
DS,Ds 3 Crossback,PureTech 130ch Grand Chic Automatique,1771
AUDI,A1 Sportback,1.0 TFSI 95ch ultra Ambition Luxe,1772
BMW,Serie 3 Touring,330eA 292ch Business Design,1773
CITROEN,C3 Aircross,1.2 PureTech 110ch S&S PLUS,1774
PEUGEOT,208,1.5 BlueHDi 100 Premium,1775
BMW,X2,xDrive25eA 220ch M Sport X Euro6d-T,1776
BMW,Serie 3,318dA 150ch M Sport Ultimate Euro6d-T,1777
LEXUS,Ux,250h 2WD Luxe MY19,1778
DACIA,Duster,1.5 Blue dCi 115ch Confort 4x2,1779
KIA,Ceed Sw,1.6 CRDI 136ch MHEV GT Line Premium DCT7,1780
HYUNDAI,Kona,1.0 T-GDi 120ch FAP Intuitive Euro6d-T EVAP,1781
MINI,Countryman,Cooper D 150ch Chili,1782
PEUGEOT,308,1.5 BlueHDi 130ch S&S GT Line,1783
PEUGEOT,Expert,Standard 2.0 BlueHDi 120ch S&S Asphalt,1784
AUDI,E-Tron,55 408ch Avus Extended e-quattro,1785
LAND-ROVER,Range Rover Evoque,1.5 P300e 309ch R-Dynamic SE AWD BVA 11cv,1786
CITROEN,C3,1.2 PureTech 110ch S&S MAX,1787
CITROEN,C3 Aircross,PureTech 110ch S&S Feel E6.d-TEMP,1788
SKODA,Karoq,1.0 TSI 110ch Ambition,1789
RENAULT,Zoe,E-Tech Intens charge normale R110 - 21C,1790
RENAULT,Clio,1.0 TCe 90ch esprit Alpine,1791
NISSAN,Juke,1.0 DIG-T 114ch N-Design + Pack Techno+ Roue de Secours,1792
TOYOTA,Yaris,100h Dynamic 5p,1793
NISSAN,Micra,1.0 IG-T 100ch N-Connecta 2020,1794
LAND-ROVER,Discovery Sport,P300e SE AWD BVA,1795
NISSAN,Micra,1.2 80ch Visia Pack Euro6,1796
DACIA,Lodgy,1.5 Blue dCi 115ch Stepway 7 places,1797
SEAT,Ateca,1.5 TSI 150ch Start&Stop Style Business DSG,1798
DS,Ds 7 Crossback,PureTech 180ch Business Automatique,1799
VOLKSWAGEN,Passat,1.6 TDI 120ch BlueMotion Technology Confortline Business DSG7,1800
RENAULT,Kadjar,1.5 Blue dCi 115ch Business,1801
FIAT,Panda,1.0 70ch BSG S&S,1802
RENAULT,Twingo,1.0 SCe 70ch Limited Euro6c,1803
CITROEN,C5 X,PureTech 130ch S&S Shine EAT8,1804
BMW,X1,sDrive18dA 150ch Sport,1805
OPEL,Corsa,1.2 Turbo 100ch Edition,1806
VOLKSWAGEN,Polo,1.0 TSI 95ch Active Euro6d-T,1807
PEUGEOT,2008,1.2 PureTech 110ch E6.c GT Line S&S EAT6,1808
RENAULT,Captur,1.3 TCe 130ch FAP Business EDC,1809
BMW,Serie 2 Active Tourer,218iA 136ch Luxury,1810
FORD,Ka+,1.2 Ti-VCT 85ch S&S Ultimate,1811
VOLKSWAGEN,T-Roc,2.0 TDI 150ch Carat DSG7 Euro6d-T,1812
FORD,Ranger,3.2 TDCi 200ch Double Cabine Wildtrak,1813
MERCEDES,Glb,250 224ch AMG Line 4Matic 8G DCT,1814
BMW,Serie 3 Touring,320dA MH xDrive 190ch M Sport,1815
NISSAN,Nv200,e-NV200 24kWh 109ch Optima 5p,1816
LEXUS,Rx,450h 4WD F SPORT,1817
PEUGEOT,308,1.5 BlueHDi 130ch S&S GT Pack EAT8,1818
MINI,Cabrio,Cooper 136ch Edition Premium Plus BVA7,1819
CITROEN,C4,PureTech 130ch S&S Feel,1820
RENAULT,Clio,0.9 TCe 90ch Zen eco²,1821
BMW,Serie 2 Active Tourer,218d 150ch M Sport,1822
LAND-ROVER,Range Rover Evoque Cabriolet,2.0 TD4 180 HSE Dynamic BVA Mark IV,1823
FORD,Fiesta,1.0 Flexifuel 95ch ST-Line 5p,1824
PEUGEOT,308,1.2 PureTech 110ch S&S Style 6cv,1825
RENAULT,Zoe,Life charge normale R110 Loyer-Promo,1826
DACIA,Duster,1.5 Blue dCi 95ch Essentiel 4x2 - 19,1827
PEUGEOT,3008,Plug-in Hybrid4 300ch GT e-EAT8,1828
